,,3M,Caterpiller,AM International,Yoyodyne,Boeing,IBM,AT&T Technologies,Acme Bank,Bank of the West
1.1.17,Does your organization have a written policy in place that affirmatively states that the cost of recruitment of workers is a business expense and that this cost will not be directly or indirectly charged to workers?,Etiam arcu hendrerit curae duis libero conubia aliquam ac urna.,Rutrum sed montes tempor dolor; consequat sodales.,Eget enim feugiat ultricies tempor quisque morbi fusce.,Eu penatibus justo vulputate ut efficitur.,Dictum primis congue nisl sapien rutrum vitae torquent fames.,Accumsan egestas ipsum senectus etiam sociosqu efficitur varius sollicitudin.,Rhoncus vitae conubia nostra fusce mattis fusce adipiscing faucibus.,Aliquam euismod enim condimentum pharetra purus netus eleifend sapien sollicitudin.,Consectetur nam auctor neque venenatis pretium lacinia.
1.1.18,"Do your organization’s staff handbook(s) or similar employee/worker documents address how to recognize, prevent, and report forced labor within your organization and its suppliers?",Dui morbi natoque aliquam libero nisi donec id enim.,Natoque fames pretium vel orci felis potenti consequat at.,Justo id sapien habitasse vel ullamcorper.,Morbi interdum ligula laoreet commodo fusce porttitor.,"Ligula dolor integer montes blandit fermentum, feugiat dolor fringilla nam.","Ultricies ornare egestas dictumst, rhoncus enim risus magna.",Varius bibendum luctus eget molestie platea sodales.,Eget mattis in volutpat natoque libero ad ex.,Inceptos hac habitasse tortor tortor condimentum lacinia dictum.
1.1.19,"Does your organization include training on how to recognize, prevent, and report forced labor in its onboarding of new employees?","Inceptos mattis semper urna, vivamus iaculis odio magna.",Donec dictum ridiculus purus litora cras aptent adipiscing.,Placerat habitasse cubilia risus laoreet a class.,Nec nec integer himenaeos dictum augue malesuada vel condimentum.,Auctor sociosqu imperdiet dictumst faucibus metus tellus lacinia nisl.,Ad integer aptent arcu convallis penatibus a a.,"Est egestas enim ridiculus aliquet ante, dis litora inceptos.",Accumsan penatibus at blandit et eget vehicula elementum.,Auctor cubilia nulla risus rhoncus volutpat platea gravida.
1.1.2,"Have there been instances of suspected slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of your organization’s business operations (including all sites, facilities, or operational locations) or supply chain (including all suppliers) in the past 24 months?",Habitasse urna in cursus diam sociosqu.,Torquent ligula massa feugiat; dis mi senectus nam molestie.,Egestas phasellus tellus ullamcorper viverra bibendum at integer.,"Malesuada neque quis, sapien interdum nibh per.",Tortor ad risus tempor turpis ante dapibus.,Neque hac ex sociosqu dolor nulla elit gravida egestas.,Nullam velit senectus pharetra nostra cursus nulla.,Facilisi aptent sollicitudin ullamcorper penatibus lobortis.,Ultricies ante non blandit; viverra penatibus torquent.
1.1.20,"Does your organization provide live or online training to your employees on modern slavery risks, including how to recognize, prevent, and report forced labor within your organization, at least once every 12 months?",Metus adipiscing egestas metus parturient tortor sed erat imperdiet.,Nullam vivamus praesent penatibus venenatis senectus.,"Nostra risus iaculis amet dis, malesuada ut.",Iaculis ut erat aliquet hendrerit ad aptent pulvinar dapibus hendrerit.,"Mollis suspendisse fringilla blandit, proin etiam curae.",Accumsan vehicula est quisque odio dignissim aenean porttitor.,"Nullam magna nam, molestie vitae neque finibus elit.",Vehicula lacus fames consectetur etiam ac sollicitudin.,Facilisis viverra vestibulum vel ultricies sed tincidunt quis.
1.1.21,Does your organization provide specific training to staff that may visit suppliers on how to spot signs that may be indicative of modern slavery and similar worker exploitation?,Suspendisse mus vulputate interdum cubilia ad.,Nascetur suspendisse ligula sagittis eget luctus platea ultrices.,Venenatis potenti ridiculus montes bibendum; dolor consectetur porta.,"Potenti pellentesque fames sollicitudin tristique, egestas class etiam suscipit.","Pretium pulvinar nam maecenas sollicitudin, morbi ante tempus.",Ut faucibus mauris venenatis accumsan dictum cras dui semper inceptos.,Taciti volutpat conubia maecenas placerat dis.,"Enim inceptos praesent malesuada aliquam, imperdiet pulvinar sociosqu augue.",Nec maecenas ligula enim taciti; congue accumsan egestas.
1.1.22,"Does your organization provide specific training for its internal recruiters in your organization’s processes for recognizing, preventing, and reporting forced labor, labor trafficking, and other forms of third-party labor exploitation?",At nulla mollis vulputate venenatis donec senectus himenaeos et.,"At fusce nec tempus nascetur augue, dolor etiam? Quisque duis porta; maecenas dis tempus tortor rhoncus aliquet litora.","Litora fringilla accumsan iaculis feugiat dis, placerat auctor sollicitudin praesent.",Et fames quis cubilia; molestie ad pharetra.,Finibus litora pellentesque luctus mattis dapibus elementum porta.,Semper conubia aliquam proin feugiat volutpat.,Eu proin ut amet fermentum mollis mollis.,Habitant donec felis vitae platea; ipsum finibus lacinia vulputate morbi.,"Neque elit duis primis, euismod nunc risus."
1.1.3,"Has your organization or any of its key officers and directors ever been sued in any court in any country or the subject of any administrative or regulatory investigative action in any country for the alleged use of forced labor or human trafficking in any of its sites, facilities, or operational locations?",Dolor malesuada tempus class auctor tellus.,Tempus viverra mauris ullamcorper sem nec pharetra eros maximus.,Porttitor habitasse porttitor libero semper fusce primis volutpat suspendisse.,Blandit rutrum odio vehicula potenti tortor bibendum.,Ullamcorper magnis euismod congue dapibus libero.,Nunc ex erat facilisis porta scelerisque lacinia molestie posuere.,Vehicula porttitor hendrerit aliquam nisi mollis conubia primis.,"Torquent aliquam maximus erat condimentum dictumst turpis dictumst blandit nisi! Primis sapien eleifend, sollicitudin montes cursus convallis.",Integer fusce sociosqu accumsan a convallis etiam.
1.1.4,"Does your organization currently have any operations or workers, whether employees or contract workers, in the following countries: North Korea Eritrea Burundi Central African Republic Afghanistan Mauritania South Sudan Pakistan Cambodia Iran",Mollis condimentum habitant mi urna; dui risus facilisis ad.,Purus sagittis integer suspendisse porta vulputate vehicula ullamcorper cubilia nec.,Placerat vulputate scelerisque proin interdum erat mi platea blandit.,Fusce lectus leo placerat vestibulum purus purus semper nibh pellentesque.,Congue fusce accumsan nisl pharetra posuere porttitor fermentum.,Metus tincidunt orci egestas; libero senectus tincidunt dolor eros.,Amet inceptos mattis sollicitudin auctor; duis vestibulum placerat.,Fames tempor lacus felis non curabitur.,Himenaeos erat mi inceptos taciti; condimentum commodo molestie quam.
1.1.5,"Did your organization have any operations or workers, whether employees or contract workers, in any of the following 10 Countries in the past 24 months? North Korea Eritrea Burundi Central African Republic Afghanistan Mauritania South Sudan Pakistan Cambodia Iran",Ut eleifend massa vulputate maecenas integer ad turpis primis.,Sociosqu taciti vehicula aliquam sem sagittis sociosqu.,Praesent orci dolor porta ornare lorem condimentum.,Suscipit lorem magna aptent auctor netus.,Lectus viverra laoreet sapien parturient per sociosqu natoque.,Varius eget iaculis libero tortor lobortis eu.,Amet a dis blandit integer sagittis primis arcu rhoncus.,Habitant etiam imperdiet maecenas ad aliquam tincidunt.,Nec quam cras per diam elementum curae primis leo class.
1.1.6,"Does your organization have any operations or workers, whether employees or contract workers, in any of the countries where the risks of modern slavery and human trafficking are high? See the attached reference file for the list of countries",Sem tempus leo venenatis lacinia blandit ultricies lacinia.,Maecenas vitae sodales nibh dolor adipiscing suspendisse nascetur ipsum.,"Euismod hac eleifend ullamcorper, magna mauris sociosqu taciti.",Sem iaculis malesuada augue aenean suspendisse maecenas in senectus.,Lectus turpis felis; placerat cubilia euismod magna himenaeos.,"Viverra venenatis ad mattis, fames ornare netus erat sociosqu.",Molestie felis suspendisse netus amet consequat diam urna finibus leo.,Aliquam morbi habitant nibh viverra ornare scelerisque ut; torquent finibus.,Facilisi ultrices consectetur aliquam cubilia dolor velit orci posuere.
1.1.7,"Did your organization have any operations or workers, whether employees or contract workers, in the past 24 months in any of the countries where the risks of modern slavery and human trafficking are high? See the attached reference file for the list of countries",Turpis dictum tellus montes porttitor vestibulum urna dolor eleifend.,Ornare lacus lacus penatibus a ligula tortor massa.,In interdum odio id quis fringilla metus condimentum porttitor.,Luctus sollicitudin ante pharetra volutpat ut elementum senectus aliquet felis? Litora pulvinar lacus scelerisque imperdiet ad; vulputate curabitur.,"Habitant orci phasellus hendrerit, egestas pharetra vulputate.",Velit dis fermentum lorem nulla ultrices primis pretium ultricies.,Molestie malesuada odio quisque pharetra pharetra senectus eleifend.,Morbi imperdiet tortor consequat ridiculus lacus magna.,Eros justo libero praesent fames magna magna ornare ullamcorper etiam.
1.1.8,"In the past 24 months, has your organization used migrant workers, whether as employees or contract workers and whether on a permanent or seasonal basis, in any of its business operations?",Habitasse urna adipiscing habitasse habitant feugiat nisl proin lacinia.,"Blandit ultricies habitant litora, id non aliquet dis.",Vestibulum sodales placerat donec cursus pellentesque duis dui nibh ante.,In nec natoque netus justo accumsan erat.,Velit cubilia scelerisque lacus est integer cubilia netus.,Aptent ex egestas vestibulum morbi volutpat diam mattis.,"Vivamus scelerisque maximus, justo nam litora porttitor.",Nec vestibulum viverra velit ultricies ut nunc.,Purus hendrerit mollis convallis libero mus facilisi nullam himenaeos.
1.1.9,Has your organization adopted an anti-slavery and anti-human trafficking transparency statement?,Eros eget tempor vitae pretium suscipit pretium.,Varius in consectetur accumsan mauris duis.,Leo lacinia rhoncus quis volutpat duis malesuada.,Risus cras habitant class; magnis nostra lobortis.,Vulputate et purus quam platea dis vehicula adipiscing.,Quis phasellus penatibus integer libero ridiculus.,Fermentum praesent bibendum nunc taciti ante.,Sodales adipiscing pulvinar molestie ultrices rutrum nullam.,"Lectus erat ante, morbi habitant mus netus."
1.2.1,"Has your organization completed any responsible sourcing audits in the past 12 months, whether conducted by an independent audit firm or by internal resources, that included an audit of modern slavery, forced labor human trafficking, and other worker exploitation risk issues in both your organization’s business operations and supply chain?",Nisl duis porta nam per placerat enim congue ut? Ultrices dolor tempus purus; class ut porta dictumst potenti.,In ultricies habitant; luctus cubilia imperdiet eu.,Aenean posuere class massa facilisi volutpat curabitur ultrices ad.,Tempor laoreet bibendum lobortis tempus elementum nibh praesent libero.,Praesent eu convallis mus pellentesque vehicula lacinia.,Pellentesque nisl tempor felis auctor sed praesent phasellus lectus.,Duis neque elementum porta ipsum dui molestie rutrum.,"Euismod nisi lorem mauris sollicitudin adipiscing aliquet odio, leo porta.","Turpis ad magna arcu, fermentum fusce sodales mi? Adipiscing viverra id parturient montes vitae aliquam."
1.3.1,"Are any original identity-related documents (e.g., passports, birth certificates, national identity cards) of workers, whether employees or contract workers, retained by your organization or someone acting on behalf of your organization?",Volutpat lectus tristique auctor nascetur eros pulvinar integer aliquam.,Litora platea aliquet at ultrices dolor ut.,Ut porttitor netus consectetur ut nullam diam.,"Sagittis sollicitudin proin, venenatis posuere proin habitant libero.",Maecenas enim aptent massa torquent velit mauris convallis duis elementum.,Laoreet magna fames mollis id a tristique.,Bibendum integer ultrices morbi lectus magna massa nulla dapibus.,Class venenatis cursus eu libero porta vestibulum sapien.,Rutrum nisl magna sagittis convallis vitae lobortis efficitur laoreet diam.
1.3.10,"Does your organization perform any periodic checks of “red flags” that may be indicative of slavery practices, such checking workers’ stated home addresses for indications of high occupancy housing or checking pay routing requests to determine whether unrelated workers may be directing their wages into a single bank account?",Et venenatis nunc curae duis ullamcorper diam.,"Fusce ipsum dolor enim fames vulputate, sit taciti aenean.",Ligula laoreet facilisis convallis enim fames nullam.,Aptent ex viverra sapien sed dui neque natoque auctor.,Auctor tincidunt nunc ut pellentesque curabitur maximus.,"Vivamus efficitur litora pulvinar fames, consectetur habitasse.","Gravida hac facilisi tempor, aliquet eros dignissim.",Phasellus malesuada nulla suspendisse purus aenean at lacinia.,Maximus vel elementum metus ridiculus efficitur ultrices morbi aptent.
1.3.11,"If your organization has formal workplace representation agreements in place, does your organization consult with and work collaboratively with trade unions and/or employee representatives to address modern slavery risks and remediations?",Magnis dapibus porttitor laoreet eros facilisi.,Hendrerit dis per senectus arcu et maximus vitae mollis augue.,"Taciti inceptos sociosqu nec ac dolor dictum, cubilia dui erat.",Turpis per luctus nullam justo vivamus blandit consequat.,Ex blandit ullamcorper pretium amet etiam arcu; congue velit cursus.,Auctor nulla vulputate suscipit taciti tincidunt malesuada.,Non dis dapibus quis accumsan mollis ex.,Conubia eleifend mattis magna volutpat dis augue.,Afaucibus dignissim id praesent penatibus eget libero enim duis.
1.3.2,"Are workers, whether employees or contract workers, required to lodge any “security deposits” (e.g., financial or personal property) or pay any recruitment fees to your organization or someone acting on behalf of your organization?","Nam pellentesque justo, proin commodo maecenas sit platea ultrices.","Dictum accumsan inceptos libero mauris, gravida nam.",Natoque faucibus suscipit enim eleifend montes facilisi magna.,Imperdiet orci auctor mattis nisl euismod ut interdum.,Nullam dolor conubia sodales suspendisse purus iaculis maximus iaculis.,Consequat elementum eros vehicula condimentum; ad litora mauris.,Ornare sociosqu vulputate metus ipsum nostra.,Odio netus ullamcorper tristique litora mollis molestie aliquam a.,Porttitor finibus amet tincidunt inceptos ut metus.
1.3.3,"Does your organization deduct wages, impose monetary fines (including fines for misconduct and poor production) and/or withhold pay entitlements of workers, whether employees or contract workers?",Duis justo magna eget porttitor parturient efficitur.,Aptent mauris himenaeos tellus; iaculis vel bibendum aenean imperdiet.,Sem consequat suspendisse nascetur orci fusce maecenas.,Torquent et nisi erat mi facilisi primis purus velit.,Natoque ad litora semper; eget dictumst nam? Erat nulla nunc lorem; ac conubia felis.,Mattis maecenas tortor est dictum est turpis.,Ante ultrices dis vel senectus orci feugiat.,Commodo hendrerit dictum donec senectus elementum imperdiet.,Erat quisque finibus volutpat per enim morbi interdum.
1.3.4,"Are all workers, whether employees or contract workers, provided with a written document in a language they understand that clearly describes the terms of employment, including wage rates and working hours?",Fermentum at ad turpis auctor quam neque sagittis sociosqu.,Senectus nunc penatibus nibh faucibus lacus.,Rhoncus viverra sollicitudin hendrerit tempus porta fermentum.,Maximus tellus justo vitae faucibus malesuada feugiat suscipit aliquam.,Ipsum nisl convallis montes egestas semper curae.,Sem duis dapibus per mus est etiam maximus donec dignissim.,Habitasse penatibus nunc cras nostra sociosqu? Sapien interdum tincidunt dapibus ultrices; rutrum nostra.,Himenaeos tempus hac vulputate vulputate scelerisque.,Eget imperdiet senectus litora donec; ligula massa fermentum id metus.
1.3.5,"If on-site or near-site living accommodations are provided to workers, whether employees or contract workers, (e.g., dormitories, hostels, or other forms of shared accommodations) are regular checks of these Ifacilities conducted to ensure that the living conditions are adequate and meet applicable legal requirements (e.g., zoning, fire safety, maximum occupancy limitations, temperature, lighting, sanitary facilities, privacy, ventilation)?",Inceptos nec eu hendrerit ut egestas ex.,Ac at lacus vivamus rutrum phasellus urna habitasse nisl.,Nam mus viverra praesent nullam congue dictumst amet etiam.,Aliquet pulvinar fringilla nostra urna velit massa.,Ac curae viverra curae convallis hac mus.,Odio luctus ante ligula; natoque aptent metus integer duis in.,Condimentum adipiscing phasellus nibh condimentum purus conubia condimentum felis ante.,Augue ut dictum mus euismod justo augue ligula.,Ultrices integer ridiculus id nulla himenaeos luctus.
1.3.6,"If on-site or near-site living accommodations are provided to workers, whether employees or contract workers, are workers free to leave those accommodations at will?","Pellentesque justo tortor luctus, natoque lobortis commodo.",Duis dui mollis aliquet dictum suspendisse sociosqu a.,Augue tempus massa tellus primis magnis.,Imperdiet maecenas egestas cursus ut viverra maximus.,Dictum vitae sapien augue elementum senectus integer.,Etiam arcu nisi et integer ac auctor.,Imperdiet et maecenas vestibulum; nisi nisl ullamcorper.,Litora elit vitae tristique enim sociosqu quisque.,Sagittis nam parturient scelerisque blandit dis potenti eget primis.
1.3.7,"Are your organization’s employees or contract workers free to lawfully resign their employment without restriction or penalty, except for customary and reasonable notice?",Vestibulum nisi laoreet posuere adipiscing fringilla.,Anisi class eu phasellus dapibus.,Maximus vitae rhoncus rutrum cubilia pulvinar ac volutpat luctus.,Congue in ipsum curabitur tellus nisl tellus montes! Fames vehicula arcu nullam in elementum purus? Ante nunc cras dis habitasse sagittis nascetur.,"Varius sed pellentesque metus, auctor nec luctus.",Tellus accumsan sed fusce felis sed dignissim.,Enim primis semper morbi senectus cras imperdiet! Libero mollis pharetra etiam lacus volutpat duis donec semper.,"Libero diam rutrum, habitant venenatis sit nisi pellentesque libero.",Morbi rutrum maximus sed iaculis euismod mollis.
1.3.8,"Are workers, including employees and contract workers, paid on a regular recurring basis at least once per month and on time and provided with pay slips that clearly outline how their wages have been calculated and itemize any deductions from wages?",Habitant congue non hendrerit torquent enim ridiculus.,"Ligula luctus nec hendrerit tincidunt, et pulvinar consequat mus.",Feugiat nullam convallis nulla aenean maximus accumsan felis.,Lacinia nisi risus urna vivamus lobortis diam nisi efficitur.,Turpis massa mi potenti lorem sollicitudin est praesent sagittis.,Dui libero ut quisque justo egestas neque; donec placerat etiam.,Consectetur at laoreet porta tristique efficitur praesent.,Porta mollis ornare luctus quisque varius.,Auctor dis sodales diam nunc et.
1.3.9,"In the past 24 months, has your organization sent one or more confidential surveys to a sample group of its workers, whether employees or contract workers, to solicit feedback on whether any workers were experiencing issues, such as coercion or exploitation?",At torquent ullamcorper magnis ad ut condimentum.,Luctus pretium proin et enim fringilla phasellus.,Imperdiet tellus erat ut blandit platea posuere dis montes.,Condimentum ullamcorper egestas phasellus quis lobortis hac.,Id adipiscing orci mattis enim ridiculus iaculis aliquam eleifend.,Praesent parturient nam ante id ultrices cursus pretium suscipit.,Sagittis laoreet fringilla nisl sollicitudin felis id.,Laoreet egestas a; sagittis vivamus elementum mauris.,Erat varius mi primis curae hendrerit bibendum consequat venenatis.
1.4.1,Does your organization undertake periodic checks to ensure that child labor is not being used within your organization or by your suppliers?,Platea conubia vulputate pretium etiam rutrum non.,Laoreet porttitor cubilia felis non non integer.,"Nec dignissim lorem lobortis, hendrerit proin mauris torquent vivamus.",Montes dignissim bibendum; nulla nascetur tortor natoque.,Velit convallis molestie nisi senectus odio tortor per in.,Ultrices mattis varius; tellus efficitur tempus montes facilisi.,Lacus mus dignissim feugiat fermentum; viverra per pellentesque.,Dolor diam magna; ligula imperdiet donec elit et torquent tincidunt.,Aenean est posuere facilisi curae dictum vel praesent.
1.5.1,"Do workers, including employees and contract workers, have one or more multi-language mechanisms to anonymously and confidentially raise concerns related to labor conditions, such as a whistleblower hotline, or to submit workplace grievances and access appropriate remedies?",Vestibulum molestie eu facilisi vulputate pulvinar dolor nulla.,Cubilia natoque gravida convallis facilisi orci nascetur.,Donec dui dui erat amet nibh interdum fusce.,Vivamus suspendisse porttitor ante et ultricies nulla habitant.,Mauris elit ornare erat mattis eros sociosqu.,Ex nec in sagittis nascetur habitasse pulvinar cubilia curae dis? Per ex hac parturient nibh cubilia.,Nostra et montes nunc posuere nam ultricies ridiculus lacus.,Conubia quam vitae habitasse adipiscing sodales? Sollicitudin quis scelerisque tincidunt nostra integer consectetur luctus nascetur venenatis.,Tempor commodo posuere ad est enim mollis tortor iaculis faucibus.
1.5.2,"Has your organization implemented a process for supervisors to report and record suspected cases of labor trafficking, forced labor, and other forms of labor exploitation in your organization?",Congue sed vivamus ligula habitasse vehicula curabitur vel.,Rutrum conubia turpis dis maecenas donec fusce nam.,Lacus rutrum tempus dapibus; imperdiet dolor torquent.,"Bibendum iaculis felis ullamcorper augue, natoque fringilla phasellus.",Lacus sodales sit eget fames tristique natoque eget.,Fames integer semper faucibus tincidunt; himenaeos hac curabitur.,Pellentesque amet et nisl vestibulum penatibus mus.,Vitae fusce interdum metus pellentesque; hendrerit maecenas ligula maecenas.,Placerat rhoncus vehicula mollis gravida eros.
2.1,"Does your organization require all direct suppliers to certify that all materials incorporated into the final product were sourced, processed, and manufactured in compliance with the human trafficking and slavery laws of the countries or countries in which they operate?",Velit ac nisi dolor odio venenatis dictum mi.,"Potenti elementum quisque ornare varius tellus massa elit? Aptent neque magnis justo, at ultricies tempor laoreet? Scelerisque etiam dapibus ultrices metus dictum quam blandit nec ridiculus.",Aest dictum placerat phasellus metus laoreet hac.,Imperdiet interdum hac a rhoncus viverra.,Phasellus viverra torquent habitasse semper netus luctus interdum purus? Eros congue leo nec posuere tortor magnis quis.,Torquent ad consequat metus sodales erat purus.,Mus faucibus mauris sollicitudin tempor eu sed.,Vestibulum aptent consequat turpis tristique senectus.,Lacinia cras litora per euismod pharetra sollicitudin.
2.1,"Is your organization currently aware of any slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of its supply chain?",Parturient sagittis cursus curabitur nullam nisi enim lobortis elementum leo.,Accumsan etiam inceptos risus ornare consectetur vitae fusce habitasse.,Aliquam turpis erat donec; sapien sed elit.,Odio cubilia ultricies fusce feugiat imperdiet ipsum tempus aliquet.,Sit ut tincidunt; vestibulum tempus natoque nulla.,Aenean ante purus mattis congue augue ut fames semper? Eros maximus tempor duis; orci etiam rhoncus.,Mattis malesuada nec lorem vehicula habitant condimentum sollicitudin.,Aptent mattis sollicitudin hac et curae cras eget.,Conubia feugiat suspendisse dictum sociosqu euismod nascetur quis cursus.
2.11,Does your organization require its suppliers to conduct due diligence checks for modern slavery risks in their suppliers?,Volutpat vehicula vulputate taciti penatibus inceptos placerat.,Eget magnis ac convallis amet cras iaculis convallis sapien.,Porttitor dignissim aliquam pharetra torquent vivamus consequat auctor conubia? Dui sagittis sodales venenatis nunc erat auctor arcu sagittis.,Neque urna blandit vivamus elit nulla feugiat nec.,Venenatis nisi feugiat fermentum aptent molestie non montes ipsum.,Velit ad justo fusce feugiat eleifend congue tristique consequat.,Purus semper massa nisi fames lorem vel.,Dolor at ante; facilisi duis potenti potenti.,Quam litora vivamus aliquet torquent curabitur malesuada.
2.12,Does your organization have a program in place to enable it to take responsive and corrective actions if modern slavery practices are suspected to exist or identified in your organization’s supply chain?,Fringilla finibus et ante litora fermentum aenean taciti.,Eu arcu mus mauris faucibus amet cubilia leo.,Aliquet fermentum himenaeos eu condimentum luctus dis iaculis? Nec nullam tristique neque donec elementum tristique odio.,Porta massa risus tellus vestibulum varius nunc torquent.,Molestie aptent finibus bibendum auctor duis ultricies neque.,Integer morbi ornare; primis condimentum vehicula sollicitudin mus.,Faucibus consectetur suspendisse per nulla elementum feugiat praesent.,"Eget blandit lacus potenti, sociosqu nascetur ut amet risus.",Semper nulla mattis volutpat elit curabitur nisl.
